,Ticker,Name,Last Sale,Net Change,% Change,Market Cap
0,ABBV,AbbVie Inc. Common Stock,$217.11,-8.55,-3.789%,"383,716,877,454"
1,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$159.14,-4.51,-2.756%,"367,498,733,901"
2,CVX,Chevron Corporation Common Stock,$181.23,3.19,1.792%,"364,910,519,024"
3,PG,Procter & Gamble Company (The) Common Stock,$156.87,1.55,0.998%,"364,565,987,456"
4,NFLX,"Netflix, Inc. Common Stock",$80.16,0.22,0.275%,"338,448,517,944"
5,KO,Coca-Cola Company (The) Common Stock,$77.35,0.46,0.598%,"332,729,444,161"
6,PLTR,Palantir Technologies Inc. Class A Common Stock,$139.54,-18.34,-11.616%,"332,584,706,605"
7,AMD,"Advanced Micro Devices, Inc. Common Stock",$200.19,-41.92,-17.314%,"325,917,635,893"
8,CAT,"Caterpillar, Inc. Common Stock",$691.82,-11.07,-1.575%,"323,757,644,105"
9,GE,GE Aerospace Common Stock,$308.34,-1.59,-0.513%,"323,391,189,124"
10,CSCO,"Cisco Systems, Inc. Common Stock (DE)",$81.16,-1.95,-2.346%,"320,670,834,733"
11,TM,Toyota Motor Corporation Common Stock,$241.39,9.97,4.308%,"314,988,115,718"
12,HSBC,"HSBC Holdings, plc. Common Stock",$89.41,0.43,0.483%,"307,127,639,177"
13,NVS,Novartis AG Common Stock,$152.91,3.05,2.035%,"302,010,896,912"
14,MRK,"Merck & Company, Inc. Common Stock (new)",$118.33,2.49,2.15%,"293,697,726,685"
15,WFC,Wells Fargo & Company Common Stock,$93.14,0.83,0.899%,"292,374,334,242"
16,AZN,AstraZeneca PLC Ordinary Shares,$187.45,3.13,1.698%,"290,683,564,144"
17,MS,Morgan Stanley Common Stock,$180.08,-2.83,-1.547%,"286,202,820,725"
18,PM,Philip Morris International Inc Common Stock,$180.39,3.39,1.915%,"280,802,063,932"
19,GS,"Goldman Sachs Group, Inc. (The) Common Stock",$913.30,-25.69,-2.736%,"273,924,709,096"
20,IBM,International Business Machines Corporation Common Stock,$289.05,-5.26,-1.787%,"270,185,211,294"
21,RTX,RTX Corporation Common Stock,$196.74,-6.76,-3.322%,"263,783,471,869"
22,LRCX,Lam Research Corporation Common Stock,$209.78,-20.32,-8.831%,"261,967,180,380"
23,UNH,UnitedHealth Group Incorporated Common Stock (DE),$275.92,-8.26,-2.907%,"249,938,992,030"
24,SAP,SAP  SE ADS,$199.68,2.39,1.211%,"245,307,725,046"
25,AXP,American Express Company Common Stock,$353.67,4.04,1.156%,"243,626,164,117"
26,INTC,Intel Corporation Common Stock,$48.60,-0.65,-1.32%,"242,757,000,000"
27,RY,Royal Bank Of Canada Common Stock,$170.02,-0.54,-0.317%,"238,064,042,030"
